Id,Label
511108000000000,Linux
172820000000000,The Hacker News
273297000000000,Linux Inside
203244000000000,Bota Informatikes
105604000000,Linux Magazine
5758174322,GNOME
262135000000,Mozilla
38123997728,System76
9801962186,Debian
119162000000000,OMG! Ubuntu!
6723083591,Ubuntu
346808000000000,Mohit Kumar
1621920000000000,Windows Mint
266201000000000,Unix- Open Source Software
48719978490,MINIX
111604000000000,GNU+Linux
213296000000000,The Perl Foundation
111160000000000,Peppermint
106144000000000,Perl
7603586601,Joyent
37871178334,dissident
181491000000000,Commodore USA
80720843425,BlankOn Linux
191494000000000,Linux Notes from DarkDuck
108065000000000,FreeBSD
110985000000000,Open-source software
47144560930,Linus Torvalds
96958258209,Phoronix
115039000000000,Muktware
146489000000000,Go2Linux
108212000000000,Linux Torvalds
112831000000000,Richard Stallman
133802000000000,The Linux Tips
158945000000000,"Linux, Programming, and Hacking - Hackr"
41911143546,The Linux Foundation
11218770329,Red Hat
104723000000000,UNIX
58079349432,Open Source For You
10098036614,Linux Journal
185238000000000,Linux Mint
157247000000000,Mageia
20528438720,Microsoft
106977000000,The Next Web
63489887485,4-H
188695000000000,Association of Science-Technology Centers
109462000000,Mozilla Indonesia
454781000000000,Mozilla Ireland
298312000000000,Hive Toronto
203833000000000,Mozilla Labs
126574000000,Mozilla Italia
153333000000000,Mozilla Hrvatska
122168000000,Mozilla QA
233895000000000,Mozilla Nicaragua
442215000000000,mozilla.de
173151000000000,Mozilla Uganda Community
122238000000000,MozillaSN
115047000000000,Mozilla Slovenija
354485000000,Mozilla Venezuela
117576000000000,Mozilla Jordan
206052000000000,Mozilla Kenya Community
181675000000000,Mozilla Malaysia
160738000000,Mozilla Bolivia
165329000000,Mozilla Bangladesh
318636000000,Mozilla Srbija
109362000000000,Mozilla å�°ç�£ç¤¾ç¾¤
198992000000,Mozilla Paraguay
310311000000000,Mozilla Greece
155768000000000,Mozilla RomÃ¢nia
131177000000000,Mozilla MÃ©xico
178206000000000,Ù…ÙˆØ²ÙŠÙ„Ø§ Ø¨Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© - Arabic Mozilla Community
176402000000000,Mozilla Algeria
216396000000,Mozilla Philippines Community
126661000000000,Mozilla Tunisia
437973000000000,MozillaEgypt
187627000000000,Mozilla India
271948000000,Mozilla Peru
100332000000,Mozilla Creative Collective
348169000000000,Mozilla Thunderbird
229265000000000,Mozilla Taiwan
14696440021,Firefox
189667000000000,ReMo - Mozilla Reps
280779000000,Mozilla Cochabamba
356787000000000,Open Badges
77701077034,Mozilla Hispano
247448000000000,Mozilla Antarctica
463236000000000,All Things Open Conference
632547000000000,Keila Banks
20916311640,Kodi
136973000000,Stern Pinball
371890000000000,LulzBot
357308000000000,L2Ork: Virginia Tech Linux Laptop Orchestra
187621000000000,Full Circle Magazine
193442000000000,The Enterprisers Project
791037000000000,The Maker Lab
140713000000000,Maker culture
545927000000000,Maker movement
5873603189,Make: Magazine
562821000000000,Denver Maker Faire
18807449704,Mashable
335423000000,Mashable - Tech
60342206410,Popular Science
280465000000,Virginia Tech School of Performing Arts
26012002239,Ellen DeGeneres
118120000000000,Feral Interactive
1203730000000000,Mycroft AI
185870000000000,The *Nixed Report
1722980000000000,Open Function Computers
252857000000000,Thalimer Observatory
105629000000000,Scientific Computing
102570000000000,Scientific Computing and Imaging Institute
109442000000000,Computational science
104958000000,Google
367116000000000,I fucking love science
203906000000000,TED-Ed
705880000000000,VoxelBoxStudios
977981000000000,Women In STEAM
128727000000000,Baltmatrix Reviews
5601262769,TechRepublic
162962000000,Opensource.com
21359210842,Downtown Denver Partnership
1466970000000000,DowntownDenver
104063000000000,Downtown Denver
112340000000000,Ubuntu
106021000000000,Linux
23379598044,TechRadar
8062627951,TechCrunch
22707976849,Intel
204239000000000,Ubuntu Women Project
256258000000000,Purple Door Coffee
165040000000000,Minecraft
6665038402,LEGO
154335000000000,Edubuntu
240873000000000,Xubuntu
178137000000000,Digital Bridge
134414000000,Ubuntu California Local Community Team
196204000000000,CoLoCoTeam
89946695959,CounterStrike: Source
680023000000000,Guns Lover
93235358688,Portal
84296203938,Half-Life 2
66878763935,Team Fortress 2
67919847338,Steam
192563000000000,Jupiter Broadcasting
116599000000000,Novacut
337091000000000,Yum! Fedora
168069000000000,OMG! Chrome
27517455413,Make Use Of
179342000000000,Ubuntu Maroc
155975000000000,Linaro
109801000000000,Ohso
286785000000000,Ubuntu App Developers
122313000000,Ubuntu One
152207000000000,Ubuntu Gamer
29282006975,Skype
209663000000000,SoVeggie
7270241753,YouTube
5654204293,Gmail
6427302910,WordPress
106272000000000,Snapcraft
155676000000000,Ubucon
245425000000000,UbuConLA
